127.0.0.1 - - [24/Jul/2024:10:21:52 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:52 +0900] "GET /och12/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:52 +0900] "GET /och12/loginForm.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:52 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:58 +0900] "POST /och12/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:58 +0900] "GET /och12/main.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:21:58 +0900] "GET /och12/image/hs2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:03 +0900] "GET /och12/updateForm.jsp HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:08 +0900] "GET /och12/updatePro.jsp?id=aa&passwd=1234&name=%EA%B9%80%EC%9C%A0%EC%8B%A0&address=%EC%84%9C%EB%9D%BC%EB%B2%8C1&tel=010-2222-3334 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:09 +0900] "GET /och12/main.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:11 +0900] "GET /och12/deleteForm.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:14 +0900] "GET /och12/deletePro.jsp?passwd=1234 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:14 +0900] "GET /och12/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:14 +0900] "GET /och12/loginForm.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:23 +0900] "GET /och12/joinForm.jsp HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:26 +0900] "GET /och12/confirmId.jsp?id=hscutie2 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:37 +0900] "GET /och12/joinPro.jsp?id=hscutie2&passwd=1234&passwd2=1234&name=%ED%98%9C%EC%84%A0&address=%EB%8B%B9%EC%82%B0%EB%8F%99&tel=010-2852-2222 HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:38 +0900] "GET /och12/loginForm.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:42 +0900] "POST /och12/loginPro.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:46 +0900] "POST /och12/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:46 +0900] "GET /och12/main.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:47 +0900] "GET /och12/deleteForm.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:49 +0900] "GET /och12/deletePro.jsp?passwd=1234 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:50 +0900] "GET /och12/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:10:22:50 +0900] "GET /och12/loginForm.jsp HTTP/1.1" 200 683
